epoch,train_loss,train_acc,val_loss,val_acc
0,1.834623,30.1587,1.951906,16.6667
1,1.389179,55.8730,2.084629,11.9048
2,1.079670,61.5873,2.214842,19.0476
3,0.927021,66.0317,2.656441,16.6667
4,0.730650,74.6032,1.584337,54.7619
5,0.595532,79.3651,2.844248,52.3810
6,0.566124,79.6825,2.229265,61.9048
7,0.540693,82.8571,2.126009,47.6190
8,0.433373,86.3492,1.919582,50.0000
9,0.585674,79.6825,0.899497,66.6667
10,0.425769,85.3968,0.661633,76.1905
11,0.346045,88.5714,0.800515,78.5714
12,0.239826,93.0159,1.000929,66.6667
13,0.224222,94.2857,0.983712,78.5714
14,0.234439,89.2063,1.028587,61.9048
15,0.221460,90.7937,1.371568,71.4286
16,0.141210,96.8254,0.573287,78.5714
17,0.212600,92.3810,1.120584,73.8095
18,0.149911,95.5556,1.644396,59.5238
19,0.105199,96.8254,1.836365,71.4286
20,0.096943,97.1429,1.392795,64.2857
21,0.108414,96.5079,0.708801,78.5714
22,0.151513,94.2857,3.535135,50.0000
23,0.187094,92.0635,1.387271,76.1905
24,0.197163,91.4286,1.690679,69.0476
25,0.182222,92.6984,1.499939,66.6667
26,0.105125,97.1429,1.332314,66.6667
27,0.088321,97.7778,2.284115,66.6667
28,0.146122,96.5079,1.471174,69.0476
29,0.254942,93.0159,0.836205,78.5714
30,0.187737,94.6032,1.894060,57.1429
31,0.175412,93.6508,1.431700,73.8095
32,0.101315,96.5079,0.542404,80.9524
33,0.058031,98.7302,0.756472,88.0952
34,0.061892,97.7778,0.945157,83.3333
35,0.102120,97.1429,1.018990,78.5714
36,0.074334,97.7778,0.777649,78.5714
37,0.087136,98.0952,0.906045,80.9524
38,0.118896,95.8730,0.917996,80.9524
39,0.051055,97.7778,0.960604,85.7143
40,0.048311,98.7302,0.681874,85.7143
41,0.036037,99.3651,0.780686,83.3333
42,0.026085,99.3651,0.829436,83.3333
43,0.014576,99.6825,0.704536,88.0952
44,0.022618,99.0476,0.764105,76.1905
45,0.022927,99.3651,1.332465,69.0476
46,0.086620,97.4603,1.078800,85.7143
47,0.039422,98.7302,1.298141,73.8095
48,0.066245,98.4127,1.234230,80.9524
49,0.068610,98.0952,1.133021,78.5714
50,0.084590,96.1905,1.450337,80.9524
51,0.107062,95.8730,1.437513,71.4286
52,0.057787,99.3651,1.222926,76.1905
53,0.038443,98.7302,1.929851,61.9048
54,0.048756,99.0476,1.548605,71.4286
55,0.034604,98.4127,3.572781,50.0000
56,0.013030,99.6825,2.141771,64.2857
57,0.011684,99.6825,0.823145,85.7143
58,0.027478,99.3651,1.115939,73.8095
0,1.834623,30.1587,1.951906,16.6667
1,1.389179,55.8730,2.084629,11.9048
2,1.079670,61.5873,2.214842,19.0476
3,0.927021,66.0317,2.656441,16.6667
4,0.730650,74.6032,1.584337,54.7619
5,0.595532,79.3651,2.844248,52.3810
6,0.566124,79.6825,2.229265,61.9048
7,0.540693,82.8571,2.126009,47.6190
